# ----------------------------------------
# Report CSV Export
# Account: QUT Centre for Robotics
# Property: QCR Open Source Website
# ----------------------------------------
# 
# All Users
# Start date: 20210502
# End date: 20220502

Page path + query string and screen class,Views
/collection/vpr_overview/?fbclid=IwAR2r6mqZ60tDhHck_OAe4tvpCNFEN_DJZN4vKMkgPv7LxMHP9Xl8NNKYQhk,1,1
/dataset/benchbot-challenge/,1,1
/dataset/kagaru/,1,1
/dataset/low-light/,1,1
/dataset/multimodal-rock-surface/,1,1
/dataset/uq-st-lucia/,1,1
/debug/%22/_next/static/gifs/0b702a0b6abfa7d90459998e6fa0ee8c.gif%22,1,1
/public/qcr_logo_light_filled.svg,1,1
/static/images/debug-0b702a0b6abfa7d90459998e6fa0ee8c.mp4,1,1

# All Users
# Start date: 20210502
# End date: 20220502

Page path + query string and screen class,Views,Users,New users,Views per user,Average engagement time,Unique user scrolls,Event count,Conversions,Total revenue
/,1555,677,650,2.2968980797636633,21.277695716395865,185,4048,0,0
/collection/vpr_overview/,528,198,170,2.6666666666666665,51.0959595959596,131,1437,0,0
/code/,463,82,2,5.646341463414634,67.84146341463415,12,861,0,0
/dataset/,298,63,8,4.73015873015873,62.476190476190474,18,483,0,0
/collection/,199,54,0,3.685185185185185,41.27777777777778,9,313,0,0
/dataset/benchbot-bear-data/,168,58,39,2.896551724137931,37.48275862068966,29,426,0,0
/code/robotics-toolbox-python/,158,103,82,1.5339805825242718,41.1747572815534,35,539,0,0
/dataset/aircraft-collision-course/,155,61,51,2.540983606557377,23.16393442622951,38,491,0,0
/code/debug/,141,2,0,70.5,637,2,357,0,0
/code/swift/,67,36,23,1.8611111111111112,50,18,198,0,0
/collection/benchbot/,50,10,0,5,25.9,1,83,0,0
/dataset/vprbench/,48,24,2,2,32.666666666666664,5,112,0,0
/code/vprbench/,46,18,0,2.5555555555555554,42.22222222222222,5,84,0,0
/collection/python_robotics/,45,32,0,1.40625,18.03125,5,66,0,0
/code/abstract-map/,41,24,0,1.7083333333333333,17.75,5,78,0,0
/dataset/airspace-traffic-occupation/,36,8,3,4.5,46.5,8,80,0,0
/code/patchnetvlad_code/,34,24,2,1.4166666666666667,20.166666666666668,8,77,0,0
/code/armer/,32,16,1,2,26.5625,8,83,0,0
/code/seqnet_code/,32,23,0,1.391304347826087,41.130434782608695,10,79,0,0
/dataset/mt-cootha-day-night/,32,4,0,8,88.25,2,60,0,0
/dataset/brisbane_event_vpr_dataset/,30,14,0,2.142857142857143,20.428571428571427,3,48,0,0
/dataset/city-sunset/,27,8,0,3.375,25.25,6,43,0,0
/dataset/alderley/,25,7,0,3.5714285714285716,45.142857142857146,5,53,0,0
/dataset/alderly/,24,5,0,4.8,48.8,4,45,0,0
